Subject,Year,URL,Understanding of the learning area,Description/Achievement,Content description,Page count WRT PDF's,Count of pages(330 words per page)
Design and Technologies,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,305,2562,19,25
Design and Technologies,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,453,9992,37,48
Design and Technologies,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,453,9994,37,48
Design and Technologies,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,553,15036,47,64
Design and Technologies,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,553,15036,47,64
Design and Technologies,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,569,19280,58,77
Design and Technologies,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,569,19280,58,77
Design and Technologies,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,597,19218,61,77
Design and Technologies,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,597,19727,62,78
Design and Technologies,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,505,17225,58,70
Design and Technologies,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/design-and-technologies/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,505,17227,58,70
Digital Technologies,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,314,2421,19,25
Digital Technologies,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,447,11248,39,52
Digital Technologies,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,447,11248,39,52
Digital Technologies,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,601,16125,50,67
Digital Technologies,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,601,16125,50,67
Digital Technologies,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,598,20555,58,81
Digital Technologies,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,598,20555,58,81
Digital Technologies,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,686,26532,13,99
Digital Technologies,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,686,26532,73,99
Digital Technologies,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,521,21510,67,84
Digital Technologies,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/digital-technologies/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5691,521,21510,67,84
Dance,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,411,11814,47,53
Dance,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,441,8813,38,44
Dance,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,441,8813,38,44
Dance,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,538,7821,36,41
Dance,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,538,7821,36,41
Dance,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,545,8504,37,43
Dance,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,545,8504,37,43
Dance,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,495,11520,46,52
Dance,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,495,11520,46,52
Dance,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,514,9906,43,47
Dance,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/dance/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,514,9906,43,47
Drama,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,352,11718,46,52
Drama,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,383,8346,39,42
Drama,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,383,8346,39,42
Drama,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,481,8620,38,43
Drama,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,481,8620,38,43
Drama,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,520,11073,44,51
Drama,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/drama/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5302,520,11073,44,51
